ADDRESS,VACANT AS OF,DWELLING TYPE,VACANT BUILDING CATEGORY,WARD,DISTRICT,CENSUS TRACT,MAP LOCATION
779 CARROLL AVE,01/11/2019 12:00:00 AM,Single Family Residential,2,1,8,33500,"(44.95045933, -93.13303664)"
121 HATCH AVE,12/05/2018 12:00:00 AM,Single Family Residential,2,5,6,31400,"(44.97123537, -93.10504476)"
1849 NEBRASKA AVE E,03/04/2020 12:00:00 AM,Single Family Residential,1,6,2,30702,"(44.98668937, -93.02215573)"
1179 7TH ST E,04/25/2016 12:00:00 AM,Commercial,3,6,4,31701,"(44.96678035, -93.05055753)"
327 WINIFRED ST E,10/28/2019 12:00:00 AM,Single Family Residential,2,2,3,36100,"(44.9297476, -93.07037765)"
419 FRY ST,03/24/2009 12:00:00 AM,Single Family Residential,2,4,13,33400,"(44.95385756, -93.16977951)"
678 SNELLING AVE N,10/05/2016 12:00:00 AM,Commercial,3,4,11,32100,"(44.96153928, -93.1668219)"
1618 HAMLINE AVE N,07/11/2018 12:00:00 AM,Single Family Residential,2,5,10,30201,"(44.98989095, -93.15634632)"
1785 VAN BUREN AVE,05/15/2012 12:00:00 AM,Single Family Residential,2,4,11,32000,"(44.96209452, -93.17583805)"
959 HUDSON ROAD,06/25/2014 12:00:00 AM,Duplex,2,7,4,34500,"(44.9523909, -93.05985823)"
117 UNIVERSITY AVE W,12/20/2013 12:00:00 AM,Commercial,2,1,7,42800,"(44.95613756, -93.10498612)"
1670 7TH ST E,05/15/2020 12:00:00 AM,Single Family Residential,2,7,2,31801,"(44.96655299, -93.02991569)"
998 BAYARD AVE,05/03/2019 12:00:00 AM,Single Family Residential,2,2,9,36700,"(44.92222525, -93.14239386)"
1853 MINNEHAHA AVE E,03/13/2020 12:00:00 AM,Single Family Residential,2,7,2,31801,"(44.96325761, -93.02212057)"
1119 MONTANA AVE W,05/04/2020 12:00:00 AM,Single Family Residential,1,5,10,30201,"(44.98762528, -93.14724279)"
656 BUSH AVE,03/01/2010 12:00:00 AM,Multi-family Residential,2,6,5,31500,"(44.96464486, -93.07282965)"
940 EDGERTON ST,07/03/2018 12:00:00 AM,Single Family Residential,1,6,5,31500,"(44.96961868, -93.07591697)"
1087 MINNEHAHA AVE E,12/05/2019 12:00:00 AM,Single Family Residential,1,7,4,31701,"(44.96318507, -93.05468928)"
908 JEFFERSON AVE,11/09/2018 12:00:00 AM,Single Family Residential,2,2,9,36700,"(44.93043016, -93.13845679)"
307 MARYLAND AVE W,08/08/2008 12:00:00 AM,Single Family Residential,2,5,6,30800,"(44.97749044, -93.11300432)"
1194 ALBEMARLE ST,12/26/2018 12:00:00 AM,Single Family Residential,2,5,6,30800,"(44.97713134, -93.10698339)"
1829 UNIVERSITY AVE W,01/20/2017 12:00:00 AM,Commercial,1,4,11,31900,"(44.95639346, -93.17766307)"
233 CESAR CHAVEZ ST,07/02/2018 12:00:00 AM,Single Family Residential,2,2,3,36100,"(44.92921124, -93.0752964)"
701 SURREY AVE,10/03/2013 12:00:00 AM,Duplex,2,7,4,34400,"(44.9544002, -93.06797762)"
692 6TH ST E,02/21/2019 12:00:00 AM,Single Family Residential,1,7,4,34400,"(44.95716927, -93.07179441)"
38 WINNIPEG AVE,06/26/2018 12:00:00 AM,Single Family Residential,2,1,6,31400,"(44.96726144, -93.10176675)"
780 STEWART AVE,07/07/2017 12:00:00 AM,Multi-family Residential,2,2,9,36800,"(44.92072838, -93.13127696)"
1098 BRADLEY ST,04/17/2018 12:00:00 AM,Single Family Residential,2,5,5,30900,"(44.97428353, -93.0784218)"
218 PASCAL ST N,04/10/2019 12:00:00 AM,Commercial,2,1,13,33400,"(44.94787396, -93.16173635)"
967 FREMONT AVE,12/20/2019 12:00:00 AM,Duplex,2,7,4,34500,"(44.95775211, -93.05966479)"
1637 BIRMINGHAM ST,02/20/2020 12:00:00 AM,Single Family Residential,1,6,2,30703,"(44.99075376, -93.04075762)"
1146 REANEY AVE,05/12/2020 12:00:00 AM,Duplex,1,7,4,31701,"(44.96385442, -93.05222034)"
1128 MACKUBIN ST,05/05/2009 12:00:00 AM,Duplex,2,5,6,30800,"(44.97530449, -93.12104279)"
60 HAWTHORNE AVE E,08/15/2019 12:00:00 AM,Single Family Residential,1,5,6,30500,"(44.97815968, -93.09834646)"
2120 ROSE AVE E,10/16/2019 12:00:00 AM,Single Family Residential,1,6,2,31802,"(44.97602003, -93.01087782)"
1253 CLEVELAND AVE N,08/05/2004 12:00:00 AM,Single Family Residential,2,4,12,30100,"(44.97876153, -93.18763715)"
69 GARFIELD ST,04/05/2010 12:00:00 AM,Single Family Residential,2,2,9,35900,"(44.93928253, -93.11372992)"
874 HOWELL ST N,11/20/2018 12:00:00 AM,Duplex,2,4,11,32000,"(44.96743607, -93.18083837)"
914 UNIVERSITY AVE W,08/06/2013 12:00:00 AM,Commercial,2,1,8,33500,"(44.95552744, -93.13869976)"
1656 GURNEY ST,11/09/2018 12:00:00 AM,Single Family Residential,2,5,6,30500,"(44.99115493, -93.09999674)"
270 EARL ST,02/05/2019 12:00:00 AM,Single Family Residential,2,7,4,34601,"(44.94943939, -93.0555683)"
1110 KINGSFORD ST,04/21/2020 12:00:00 AM,Single Family Residential,1,6,2,31801,"(44.97465026, -93.02886604)"
41 MILLER CREST LANE,09/24/2010 12:00:00 AM,Single Family Residential,2,7,1,37402,"(44.94344176, -93.03037778)"
827 VAN BUREN AVE,08/19/2014 12:00:00 AM,Duplex,2,1,7,32400,"(44.9621988, -93.13510041)"
904 CHARLOTTE ST,10/23/2013 12:00:00 AM,Single Family Residential,2,4,11,32100,"(44.96830995, -93.1702813)"
720 SNELLING AVE N,05/29/2020 12:00:00 AM,Mixed Use,1,4,11,32100,"(44.96272136, -93.1668493)"
632 LEXINGTON PKWY N,04/14/2016 12:00:00 AM,Duplex,2,1,7,32400,"(44.96040153, -93.14626654)"
489 SHERBURNE AVE,03/19/2018 12:00:00 AM,Single Family Residential,3,1,7,32600,"(44.95678658, -93.12072375)"
171 WYOMING ST E,09/11/2018 12:00:00 AM,Single Family Residential,2,2,3,37200,"(44.9205578, -93.07797476)"
749 CHARLES AVE,05/06/2010 12:00:00 AM,Single Family Residential,2,1,7,32500,"(44.95769081, -93.13192658)"
837 4TH ST E,05/06/2015 12:00:00 AM,Single Family Residential,2,7,4,34500,"(44.95851989, -93.06530366)"
1011 MARGARET ST,01/08/2020 12:00:00 AM,Duplex,1,7,4,31701,"(44.9615207, -93.05789316)"
1106 PAYNE AVE,02/28/2018 12:00:00 AM,Commercial,2,6,5,31000,"(44.97452392, -93.07340904)"
799 AURORA AVE,04/27/2020 12:00:00 AM,Duplex,1,1,8,33500,"(44.95494618, -93.13379003)"
1076 WESTERN AVE N,12/18/2018 12:00:00 AM,Single Family Residential,1,5,6,30800,"(44.973692, -93.11591171)"
240 COTTAGE AVE W,03/25/2019 12:00:00 AM,Single Family Residential,2,5,6,30400,"(44.98263532, -93.11022338)"
674 OHIO ST,08/09/2019 12:00:00 AM,Single Family Residential,1,2,3,37100,"(44.92577603, -93.09749761)"
543 MICHIGAN ST,07/05/2019 12:00:00 AM,Duplex,1,2,9,36900,"(44.93512447, -93.12281567)"
1117 JENKS AVE,12/24/2018 12:00:00 AM,Single Family Residential,2,6,5,31600,"(44.9713994, -93.05344721)"
2022 STILLWATER AVE,10/27/2008 12:00:00 AM,Single Family Residential,3,7,2,31802,"(44.96892399, -93.0149848)"
433 ROBERT ST S,10/09/2017 12:00:00 AM,Commercial,2,2,3,37100,"(44.9328391, -93.0812451)"
727 SHERBURNE AVE,11/27/2018 12:00:00 AM,Single Family Residential,2,1,7,32500,"(44.95679044, -93.13083282)"
1336 DAYTON AVE,10/02/2014 12:00:00 AM,Duplex,2,1,13,35300,"(44.94731307, -93.15657788)"
736 PLUM ST,08/02/2019 12:00:00 AM,Single Family Residential,2,7,4,34400,"(44.95296365, -93.06378514)"
540 FOREST ST,11/30/2018 12:00:00 AM,Single Family Residential,1,7,4,34500,"(44.95750081, -93.06070993)"
655 JESSAMINE AVE E,06/19/2019 12:00:00 AM,Single Family Residential,2,6,5,31000,"(44.97487453, -93.07275233)"
242 CONGRESS ST E,01/04/2017 12:00:00 AM,Single Family Residential,2,2,3,36100,"(44.93129397, -93.07362194)"
134 CASE AVE,07/26/2019 12:00:00 AM,Single Family Residential,3,5,6,31400,"(44.96998887, -93.09498418)"
118 MANITOBA AVE,08/12/2014 12:00:00 AM,Duplex,2,1,6,31400,"(44.96820955, -93.10497778)"
936 MARSHALL AVE,04/28/2010 12:00:00 AM,Single Family Residential,2,1,8,33800,"(44.94832354, -93.13975942)"
942 GALTIER ST,03/05/2020 12:00:00 AM,Single Family Residential,1,1,6,31300,"(44.96960921, -93.11089099)"
1731 IVY AVE E,09/05/2019 12:00:00 AM,Single Family Residential,2,6,2,30704,"(44.98131561, -93.02718108)"
1066 DESOTO ST,07/03/2018 12:00:00 AM,Single Family Residential,2,5,5,30900,"(44.97328121, -93.0808871)"
594 REANEY AVE,08/06/2009 12:00:00 AM,Duplex,2,6,5,31500,"(44.96376644, -93.07541994)"
720 EUCLID ST,10/16/2019 12:00:00 AM,Single Family Residential,2,7,4,34400,"(44.9540656, -93.06609232)"
1023 TOPPING ST,12/18/2019 12:00:00 AM,Single Family Residential,1,1,10,31200,"(44.96762622, -93.14328505)"
765 MINNEHAHA AVE E,03/04/2020 12:00:00 AM,Single Family Residential,1,6,4,33100,"(44.96317201, -93.06813891)"
663 YORK AVE,10/24/2018 12:00:00 AM,Single Family Residential,2,6,5,31500,"(44.96855375, -93.07247848)"
1136 LAFOND AVE,02/11/2016 12:00:00 AM,Single Family Residential,2,4,11,32300,"(44.9601206, -93.1481715)"
1639 TAYLOR AVE,03/01/2017 12:00:00 AM,Single Family Residential,2,4,11,32100,"(44.96780938, -93.16955018)"
1475 PACIFIC ST,10/17/2017 12:00:00 AM,Single Family Residential,2,7,1,34602,"(44.95152562, -93.03812046)"
991 FARRINGTON ST,01/24/2019 12:00:00 AM,Single Family Residential,2,5,6,30800,"(44.97125515, -93.11379585)"
1161 NORTON ST,07/05/2011 12:00:00 AM,Duplex,2,5,6,30800,"(44.97617818, -93.12023177)"
466 LAUREL AVE,05/03/2000 12:00:00 AM,Single Family Residential,3,1,8,35500,"(44.94523453, -93.11986934)"
1457 3RD ST E,10/01/2014 12:00:00 AM,Single Family Residential,2,7,1,34602,"(44.95697096, -93.03883609)"
564 MENDOTA ST,05/18/2020 12:00:00 AM,Single Family Residential,1,7,4,34500,"(44.95825336, -93.06328619)"
92 WHEELOCK PKWY E,03/04/2020 12:00:00 AM,Single Family Residential,1,5,6,30500,"(44.99039434, -93.09690886)"
631 WESTERN AVE N,10/13/2017 12:00:00 AM,Single Family Residential,2,1,7,32600,"(44.96041227, -93.11630239)"
284 MAPLE ST,02/07/2020 12:00:00 AM,Single Family Residential,2,7,4,34500,"(44.95618612, -93.06629569)"
2340 CHARLES AVE,11/04/2019 12:00:00 AM,Commercial,1,4,12,31900,"(44.9644177, -93.19592519)"
171 GRANITE ST,04/19/2017 12:00:00 AM,Single Family Residential,2,5,6,31400,"(44.96626249, -93.09321039)"
832 ARMSTRONG AVE,07/10/2018 12:00:00 AM,Duplex,1,2,9,36800,"(44.92488982, -93.13514311)"
146 WATER ST W,12/18/2018 12:00:00 AM,Mixed Use,2,2,3,37100,"(44.93734679, -93.09323696)"
1018 GERANIUM AVE E,04/10/2020 12:00:00 AM,Single Family Residential,1,6,5,31100,"(44.97556374, -93.05753143)"
831 SMITH AVE S,08/05/2016 12:00:00 AM,Single Family Residential,2,2,3,37000,"(44.92105008, -93.10201471)"
1515 MARSHALL AVE,05/07/2020 12:00:00 AM,Single Family Residential,2,1,13,33400,"(44.94865512, -93.16424326)"
61 JESSAMINE AVE W,05/13/2010 12:00:00 AM,Duplex,2,5,6,30500,"(44.97479581, -93.10256264)"
106 DOUGLAS ST,04/10/2018 12:00:00 AM,Duplex,2,2,9,36000,"(44.93826197, -93.11086274)"
1431 RICE ST,03/19/2020 12:00:00 AM,Commercial,2,5,6,30400,"(44.98421798, -93.10625907)"
603 EDMUND AVE,10/29/2019 12:00:00 AM,Duplex,2,1,7,32600,"(44.95854683, -93.12554999)"
1273 SARGENT AVE,10/10/2019 12:00:00 AM,Single Family Residential,1,3,14,35300,"(44.93512583, -93.15388652)"
1739 YORK AVE,10/18/2019 12:00:00 AM,Single Family Residential,2,6,2,31801,"(44.96889274, -93.02684769)"
935 IGLEHART AVE,03/23/2017 12:00:00 AM,Single Family Residential,2,1,8,33800,"(44.94957358, -93.13968929)"
46 FRONT AVE,07/19/2018 12:00:00 AM,Duplex,2,1,6,31400,"(44.97015027, -93.10206885)"
32 BENHILL ROAD,06/08/2016 12:00:00 AM,Single Family Residential,2,2,16,36700,"(44.93236419, -93.14135395)"
633 CAPITOL BLVD,08/02/2019 12:00:00 AM,Single Family Residential,2,1,7,42800,"(44.96048238, -93.10242806)"
373 NEBRASKA AVE W,10/29/2018 12:00:00 AM,Single Family Residential,2,5,6,30400,"(44.98652687, -93.11563397)"
1297 7TH ST W,01/29/2020 12:00:00 AM,Single Family Residential,2,2,9,36800,"(44.92202762, -93.13544149)"
1650 MINNEHAHA AVE E,02/20/2020 12:00:00 AM,Single Family Residential,1,7,1,34602,"(44.96293605, -93.0309809)"
360 FULLER AVE,08/16/2016 12:00:00 AM,Multi-family Residential,2,1,8,33700,"(44.95379932, -93.11533011)"
1841 UNIVERSITY AVE W,03/03/2015 12:00:00 AM,Commercial,2,4,11,31900,"(44.95636302, -93.17808329)"
587 COOK AVE E,10/14/2005 12:00:00 AM,Duplex,2,6,5,31000,"(44.97304842, -93.07561221)"
380 RANDOLPH AVE,11/21/2006 12:00:00 AM,Commercial,2,2,9,36000,"(44.92671507, -93.11591551)"
1400 UNIVERSITY AVE W,04/16/2019 12:00:00 AM,Commercial,1,1,13,33400,"(44.95360857, -93.15915219)"
1793 MARYLAND AVE E,11/30/2018 12:00:00 AM,Single Family Residential,2,6,2,30702,"(44.97764702, -93.0246582)"
575 PARK ST,11/13/2007 12:00:00 AM,Single Family Residential,2,1,7,42800,"(44.95867481, -93.10394814)"
485 BLAIR AVE,12/04/2015 12:00:00 AM,Single Family Residential,2,1,7,32600,"(44.96130436, -93.12066111)"
733 CASE AVE,07/24/2018 12:00:00 AM,Duplex,2,6,5,31000,"(44.97058473, -93.06960833)"
1803 IVY AVE E,08/16/2017 12:00:00 AM,Duplex,2,6,2,30702,"(44.98125333, -93.02415953)"
293 HARRISON AVE,09/12/2019 12:00:00 AM,Single Family Residential,2,2,9,35900,"(44.93978976, -93.11252533)"
1786 HAWTHORNE AVE E,12/01/2016 12:00:00 AM,Single Family Residential,2,6,2,30702,"(44.97825935, -93.02490216)"
626 REANEY AVE,01/20/2012 12:00:00 AM,Single Family Residential,2,6,5,31500,"(44.963795, -93.0741431)"
1105 WILSON AVE,12/12/2019 12:00:00 AM,Single Family Residential,2,7,4,34601,"(44.95416947, -93.05382076)"
187 7TH PLACE E,08/12/2008 12:00:00 AM,Commercial,2,2,17,34202,"(44.95031947, -93.09034852)"
1286 SHERBURNE AVE,09/09/2014 12:00:00 AM,Single Family Residential,3,4,11,32300,"(44.95646369, -93.15462894)"
27 EMPIRE DRIVE,02/04/2013 12:00:00 AM,Commercial,3,1,7,42800,"(44.96290113, -93.10051383)"
425 RICE ST,04/16/2019 12:00:00 AM,Commercial,2,1,17,33700,"(44.95361819, -93.10780981)"
346 SHERBURNE AVE,04/25/2016 12:00:00 AM,Single Family Residential,2,1,7,32700,"(44.95655446, -93.11462031)"
971 ARCADE ST,11/29/2016 12:00:00 AM,Commercial,1,6,5,31000,"(44.97070206, -93.06624148)"
1560 REANEY AVE,08/11/2017 12:00:00 AM,Single Family Residential,2,7,2,31801,"(44.96388552, -93.03452455)"
1021 FULLER AVE,08/06/2018 12:00:00 AM,Single Family Residential,2,1,8,33500,"(44.95406085, -93.14315961)"
2171 5TH ST E,10/31/2018 12:00:00 AM,Single Family Residential,1,7,1,34702,"(44.95959927, -93.00873447)"
389 CHARLES AVE,04/23/2020 12:00:00 AM,Single Family Residential,1,1,7,32600,"(44.95767158, -93.11660561)"
1350 HAGUE AVE,10/27/2017 12:00:00 AM,Single Family Residential,2,1,13,35200,"(44.94571273, -93.15721502)"
1758 STILLWATER AVE,10/04/2013 12:00:00 AM,Single Family Residential,2,6,2,31801,"(44.96751273, -93.02624636)"
862 PASCAL ST N,04/20/2018 12:00:00 AM,Single Family Residential,1,4,11,32200,"(44.96713927, -93.16200427)"
654 WINSLOW AVE,03/04/2020 12:00:00 AM,Single Family Residential,2,2,3,37100,"(44.92615303, -93.08936135)"
947 FREMONT AVE,01/18/2018 12:00:00 AM,Single Family Residential,2,7,4,34500,"(44.95776234, -93.06039703)"
428 BAY ST,07/18/2018 12:00:00 AM,Single Family Residential,2,2,9,36800,"(44.92850757, -93.13047925)"
864 MARION ST,05/14/2010 12:00:00 AM,Duplex,3,1,6,31300,"(44.96729678, -93.10957842)"
51 LITCHFIELD ST,08/27/2018 12:00:00 AM,Single Family Residential,2,1,6,31400,"(44.96958879, -93.10222122)"
363 WOODLAWN AVE,04/23/2018 12:00:00 AM,Single Family Residential,2,3,14,43000,"(44.9305073, -93.1961617)"
1737 COTTAGE AVE E,04/29/2020 12:00:00 AM,Single Family Residential,2,6,2,30704,"(44.98306283, -93.02695094)"
574 SHERBURNE AVE,03/18/2013 12:00:00 AM,Duplex,2,1,7,32600,"(44.95651907, -93.1244242)"
61 COMO AVE,02/07/2020 12:00:00 AM,Multi-family Residential,2,1,7,42800,"(44.95910417, -93.10193403)"
585 JEFFERSON AVE,11/09/2018 12:00:00 AM,Single Family Residential,2,2,9,36900,"(44.93076826, -93.12416856)"
203 KING ST W,12/06/2019 12:00:00 AM,Single Family Residential,1,2,3,37100,"(44.92771544, -93.09411119)"
1400 DAYTON AVE,05/22/2019 12:00:00 AM,Commercial,2,1,13,33400,"(44.94735219, -93.15948332)"
953 SHERBURNE AVE,08/17/2018 12:00:00 AM,Single Family Residential,2,1,7,32500,"(44.95677167, -93.14037983)"
1293 PAYNE AVE,08/10/2018 12:00:00 AM,Single Family Residential,2,6,5,31000,"(44.98028137, -93.07377349)"
253 AVON ST N,01/19/2017 12:00:00 AM,Single Family Residential,2,1,8,33800,"(44.94909317, -93.13335907)"
1878 ORANGE AVE E,07/03/2019 12:00:00 AM,Single Family Residential,1,6,2,30702,"(44.97913441, -93.02116079)"
889 AGATE ST,06/01/2007 12:00:00 AM,Multi-family Residential,2,5,6,31400,"(44.96800252, -93.09439511)"
245 MARYLAND AVE E,01/02/2020 12:00:00 AM,Commercial,1,5,6,30500,"(44.97949948, -93.09150903)"
1295 GALTIER ST,04/19/2018 12:00:00 AM,Single Family Residential,2,5,6,30800,"(44.98016219, -93.11123528)"
1028 ROSS AVE,08/20/2018 12:00:00 AM,Single Family Residential,1,6,4,31701,"(44.96565378, -93.05720732)"
1352 SUMMIT AVE,01/28/2020 12:00:00 AM,Duplex,1,3,14,35200,"(44.94100544, -93.15746483)"
39 HILLTOP LANE,10/15/2013 12:00:00 AM,Single Family Residential,1,3,15,37500,"(44.90783306, -93.17556701)"
586 BURGESS ST,03/31/2020 12:00:00 AM,Single Family Residential,1,1,6,31300,"(44.9682167, -93.12506314)"
572 EARL ST,08/20/2018 12:00:00 AM,Commercial,1,7,4,34601,"(44.95885502, -93.05563021)"
730 TRANSFER ROAD,08/19/2016 12:00:00 AM,Commercial,1,4,11,31900,"(44.96305407, -93.18481142)"
224 GROTTO ST N,05/17/2011 12:00:00 AM,Single Family Residential,2,1,8,33900,"(44.9480278, -93.13124017)"
535 FOREST ST,04/26/2019 12:00:00 AM,Single Family Residential,2,7,4,34500,"(44.95741044, -93.06116126)"
822 VAN BUREN AVE,11/28/2007 12:00:00 AM,Duplex,2,1,7,32400,"(44.96191208, -93.13493396)"
1807 7TH ST E,11/07/2019 12:00:00 AM,Single Family Residential,1,7,2,31801,"(44.96687273, -93.02403206)"
1093 4TH ST E,07/20/2007 12:00:00 AM,Single Family Residential,2,7,4,34601,"(44.9588924, -93.05422268)"
596 CHARLES AVE,05/29/2019 12:00:00 AM,Single Family Residential,2,1,7,32600,"(44.95740381, -93.12537584)"
2117 MOHAWK AVE,05/27/2010 12:00:00 AM,Single Family Residential,1,7,2,31802,"(44.96819911, -93.01330306)"
1010 EDGERTON ST,11/06/2019 12:00:00 AM,Single Family Residential,2,6,5,31000,"(44.97163632, -93.0758044)"
648 BUSH AVE,08/27/2010 12:00:00 AM,Multi-family Residential,2,6,5,31500,"(44.96469162, -93.07308266)"
1145 SNELLING AVE N,04/14/2020 12:00:00 AM,Commercial,3,4,10,30100,"(44.97563889, -93.16813008)"
1038 MACKUBIN ST,04/22/2020 12:00:00 AM,Single Family Residential,1,5,6,30800,"(44.97253338, -93.12094623)"
1235 MARGARET ST,10/09/2019 12:00:00 AM,Single Family Residential,2,7,4,34601,"(44.96139891, -93.04845913)"
714 WESTERN AVE N,08/08/2019 12:00:00 AM,Single Family Residential,2,1,7,32700,"(44.96273657, -93.11597462)"
1041 JENKS AVE,09/19/2019 12:00:00 AM,Single Family Residential,1,6,5,31600,"(44.97138599, -93.05659978)"
1486 MIDWAY PKWY,06/05/2018 12:00:00 AM,Single Family Residential,1,4,10,30201,"(44.98058661, -93.16300818)"
2442 STEWART AVE,02/05/2020 12:00:00 AM,Single Family Residential,1,3,15,37602,"(44.89998779, -93.1663134)"
1440 ROBLYN AVE,08/06/2010 12:00:00 AM,Commercial,3,1,13,33400,"(44.95077115, -93.16116781)"
750 CHATSWORTH ST S,04/05/2019 12:00:00 AM,Duplex,2,2,9,36700,"(44.91894068, -93.14108708)"
1023 JESSIE ST,12/09/2004 12:00:00 AM,Duplex,2,5,5,30900,"(44.97216721, -93.07754073)"
80 MISSISSIPPI RIVER BLVD N,10/29/2019 12:00:00 AM,Single Family Residential,1,4,13,43000,"(44.94320019, -93.19791792)"
666 FULLER AVE,10/05/2018 12:00:00 AM,Single Family Residential,2,1,8,33500,"(44.95377516, -93.12822363)"
1971 NORTONIA AVE,11/22/2019 12:00:00 AM,Duplex,2,7,2,31802,"(44.96509452, -93.01762998)"
120 WINTER ST,12/18/2019 12:00:00 AM,Single Family Residential,2,1,7,42800,"(44.95983192, -93.10502174)"
670 PAYNE AVE,11/27/2018 12:00:00 AM,Commercial,1,7,5,33000,"(44.96141837, -93.07579166)"
661 WESTERN AVE N,09/18/2012 12:00:00 AM,Mixed Use,2,1,7,32600,"(44.96131619, -93.11627104)"
1505 UNIVERSITY AVE W,05/29/2020 12:00:00 AM,Commercial,1,4,11,32100,"(44.95587025, -93.16425844)"
507 ASHLAND AVE,08/09/2019 12:00:00 AM,Single Family Residential,1,1,8,35500,"(44.94462733, -93.12171946)"
941 GREENBRIER ST,01/29/2019 12:00:00 AM,Single Family Residential,1,6,5,31500,"(44.9697005, -93.07119577)"
1187 MARYLAND AVE E,08/07/2018 12:00:00 AM,Single Family Residential,2,6,5,31100,"(44.97768927, -93.05021841)"
181 FRONT AVE,11/06/2019 12:00:00 AM,Single Family Residential,1,5,6,31300,"(44.97033028, -93.10777224)"
1880 AMES AVE,11/16/2012 12:00:00 AM,Duplex,2,6,2,31801,"(44.97193246, -93.02101623)"
1696 BOHLAND AVE,06/06/2017 12:00:00 AM,Single Family Residential,2,3,15,37500,"(44.91595109, -93.17188779)"
825 UNIVERSITY AVE W,04/20/2009 12:00:00 AM,Commercial,2,1,7,32500,"(44.95591044, -93.13510463)"
893 HUDSON ROAD,01/13/2015 12:00:00 AM,Duplex,2,7,4,34400,"(44.95241019, -93.06303223)"
701 HAZEL ST N,03/09/2020 12:00:00 AM,Single Family Residential,2,7,1,34701,"(44.96253218, -93.02044585)"
1490 7TH ST E,07/21/2017 12:00:00 AM,Single Family Residential,2,7,2,31702,"(44.96657645, -93.03756494)"
1628 VAN BUREN AVE,07/30/2019 12:00:00 AM,Single Family Residential,2,4,11,32100,"(44.96177396, -93.16907853)"
1554 MIDWAY PKWY,08/07/2012 12:00:00 AM,Commercial,2,4,10,30201,"(44.98054374, -93.16539927)"
1734 SIMS AVE,06/19/2018 12:00:00 AM,Duplex,1,6,2,31801,"(44.96937811, -93.02688683)"
1466 OSCEOLA AVE,08/06/2019 12:00:00 AM,Single Family Residential,2,3,14,35200,"(44.93590114, -93.16224238)"
332 JESSAMINE AVE E,04/11/2018 12:00:00 AM,Single Family Residential,2,5,5,30900,"(44.97440697, -93.08659931)"
888 PRIOR AVE N,09/23/2016 12:00:00 AM,Commercial,3,4,11,32000,"(44.96775141, -93.18211326)"
943 DESOTO ST,12/28/2012 12:00:00 AM,Single Family Residential,2,5,5,31500,"(44.96957908, -93.08136956)"
55 MANITOBA AVE,06/01/2007 12:00:00 AM,Duplex,2,1,6,31400,"(44.96846246, -93.10215937)"
364 MAPLE ST,12/24/2008 12:00:00 AM,Single Family Residential,2,7,4,34500,"(44.95829623, -93.06855973)"
2060 3RD ST E,03/05/2019 12:00:00 AM,Single Family Residential,1,7,1,34702,"(44.95656843, -93.01355562)"
802 MOUND ST,04/20/2020 12:00:00 AM,Single Family Residential,2,7,4,34400,"(44.95134905, -93.06313382)"
134 ELIZABETH ST E,08/28/2018 12:00:00 AM,Single Family Residential,3,2,3,37200,"(44.92697764, -93.07968068)"
1089 FARRINGTON ST,06/12/2019 12:00:00 AM,Single Family Residential,2,5,6,30800,"(44.97406025, -93.11382402)"
1258 RICE ST,02/11/2009 12:00:00 AM,Single Family Residential,2,5,6,30500,"(44.97908427, -93.10557332)"
981 MENDOTA ST,09/21/2018 12:00:00 AM,Single Family Residential,2,6,5,31600,"(44.9708853, -93.06355502)"
1313 SEMINARY AVE,06/05/2008 12:00:00 AM,Single Family Residential,2,4,11,32300,"(44.96488803, -93.15572938)"
1174 CHARLES AVE,09/12/2019 12:00:00 AM,Single Family Residential,2,4,11,32300,"(44.95738979, -93.14982778)"
1905 IGLEHART AVE,08/15/2019 12:00:00 AM,Single Family Residential,2,4,13,33300,"(44.94963928, -93.1807538)"
1655 WESTMINSTER ST,09/25/2019 12:00:00 AM,Single Family Residential,2,5,5,30601,"(44.99108369, -93.08653776)"
398 TOTEM ROAD,11/25/2019 12:00:00 AM,Multi-family Residential,1,7,1,37403,"(44.92529269, -93.01229142)"
173 COOK AVE E,04/05/2017 12:00:00 AM,Single Family Residential,2,5,6,31400,"(44.97300787, -93.09330712)"
1708 MINNEHAHA AVE E,09/20/2019 12:00:00 AM,Single Family Residential,2,7,1,34701,"(44.96291791, -93.02837512)"
1845 UNIVERSITY AVE W,10/28/2014 12:00:00 AM,Commercial,2,4,11,31900,"(44.95642498, -93.17823374)"
342 THOMAS AVE,08/22/2019 12:00:00 AM,Single Family Residential,2,1,7,32700,"(44.95922701, -93.11445849)"
970 REANEY AVE,02/10/2017 12:00:00 AM,Single Family Residential,2,7,4,31701,"(44.96370318, -93.05959529)"
705 WATSON AVE,03/06/2020 12:00:00 AM,Single Family Residential,1,2,9,36800,"(44.9242516, -93.12958474)"
742 EUCLID ST,12/22/2016 12:00:00 AM,Single Family Residential,2,7,4,34400,"(44.954632, -93.0650233)"
1725 BEECH ST,09/24/2014 12:00:00 AM,Single Family Residential,2,7,1,34701,"(44.96235073, -93.02751201)"
1108 6TH ST E,06/19/2019 12:00:00 AM,Single Family Residential,2,7,4,34601,"(44.96023903, -93.0536621)"
345 GOODRICH AVE,05/18/2016 12:00:00 AM,Single Family Residential,2,2,9,35900,"(44.93798379, -93.11466232)"
1915 IVY AVE E,10/16/2012 12:00:00 AM,Single Family Residential,3,6,2,30702,"(44.98126284, -93.01942865)"
